fecha,demanda_total_kwh,demanda_regulada_kwh,demanda_no_regulada_kwh,perdidas_total_kwh,perdidas_regulada_kwh,perdidas_no_regulada_kwh,consumo_facturado_calendarizado_total_kwh,consumo_facturado_mensual_kwh,consumo_facturado_trimestral_kwh,consumo_facturado_irregular_kwh,registros_facturacion_activos,dia_semana,es_fin_de_semana,mes,dia_del_ano,cobertura_calendarizacion_completa
2025-03-27,2849467.960000,2568894.310000,280573.650000,46536.670000,41611.140000,4925.530000,2303073.897079,1934237.568999,368603.962193,232.365887,568643,3,0,3,86,1
2025-03-28,2821384.290000,2544012.390000,277371.900000,43553.320000,39047.880000,4505.440000,2302918.570618,1934237.568999,368447.185281,233.816337,568631,4,0,3,87,1
2025-03-29,2700921.960000,2438711.330000,262210.630000,41733.530000,37450.340000,4283.190000,2302101.321403,1934237.568999,367586.084822,277.667581,568541,5,1,3,88,1
2025-03-30,2445871.050000,2217392.880000,228478.170000,38081.150000,34418.310000,3662.840000,2301123.303125,1934237.568999,366525.546652,360.187474,568483,6,1,3,89,1
2025-03-31,2670667.850000,2410154.210000,260513.640000,37078.020000,33197.120000,3880.900000,2300556.648931,1934237.568999,365916.648383,402.431548,568404,0,0,3,90,1
2025-04-01,2717043.670000,2451610.560000,265433.110000,35096.790000,31134.940000,3961.850000,2064120.632230,1698887.535666,364746.604623,486.491941,568088,1,0,4,91,1
2025-04-02,2747422.220000,2492801.930000,254620.290000,34944.460000,31232.190000,3712.270000,2299022.692282,1934060.811528,364428.767189,533.113565,568457,2,0,4,92,1
2025-04-03,2750797.930000,2504589.620000,246208.310000,41333.140000,37514.940000,3818.200000,2298762.679523,1934060.811528,364119.028175,582.839820,568457,3,0,4,93,1
2025-04-04,2753402.660000,2508020.730000,245381.930000,41094.960000,37294.470000,3800.490000,2298132.387219,1934060.811528,363447.208146,624.367546,568458,4,0,4,94,1
2025-04-05,2619001.290000,2383241.230000,235760.060000,37525.020000,33848.720000,3676.300000,2297462.420880,1934060.811528,362700.254454,701.354899,568539,5,1,4,95,1
2025-04-06,2399726.290000,2181991.300000,217734.990000,40515.600000,36531.140000,3984.460000,2296362.725487,1934060.811528,361503.313009,798.600949,568479,6,1,4,96,1
2025-04-07,2687022.030000,2432758.970000,254263.060000,38738.580000,34832.890000,3905.690000,2296163.312229,1934060.811528,361299.612205,802.888496,568364,0,0,4,97,1
2025-04-08,2728899.090000,2469190.340000,259708.750000,39690.100000,35597.110000,4092.990000,2296293.430533,1934060.811528,361360.195995,872.423011,568141,1,0,4,98,1
2025-04-09,2753859.410000,2485009.900000,268849.510000,40382.030000,36194.250000,4187.780000,2295774.463341,1934060.811528,360771.671036,941.980777,568040,2,0,4,99,1
2025-04-10,2748164.030000,2482593.790000,265570.240000,46737.680000,42029.280000,4708.400000,2294476.494614,1934060.811528,359437.818280,977.864806,568137,3,0,4,100,1
2025-04-11,2729041.990000,2465839.920000,263202.070000,39945.460000,35999.610000,3945.850000,2288879.981764,1934060.811528,353800.620585,1018.549651,565806,4,0,4,101,1
2025-04-12,2660045.720000,2419820.950000,240224.770000,44611.010000,40550.960000,4060.050000,2287387.746828,1934060.811528,352210.521567,1116.413733,565502,5,1,4,102,1
2025-04-13,2481188.980000,2244586.810000,236602.170000,36390.330000,32611.120000,3779.210000,2286721.557747,1934060.811528,351544.332486,1116.413733,565370,6,1,4,103,1
2025-04-14,2774049.380000,2524415.930000,249633.450000,42748.520000,38540.000000,4208.520000,2286241.730796,1934060.811528,351064.505535,1116.413733,565092,0,0,4,104,1
2025-04-15,2850157.510000,2602564.090000,247593.420000,42459.990000,38601.560000,3858.430000,2286026.461307,1934060.811528,350828.239119,1137.410660,564911,1,0,4,105,1
2025-04-16,2814470.850000,2567830.210000,246640.640000,33693.350000,30305.430000,3387.920000,2273920.414110,1922675.611528,350107.279019,1137.523563,564217,2,0,4,106,1
2025-04-17,2546339.190000,2320341.390000,225997.800000,38632.870000,34682.030000,3950.840000,2283290.340459,1932616.560266,349536.256630,1137.523563,564078,3,0,4,107,1
2025-04-18,2411988.750000,2198560.830000,213427.920000,29415.210000,26245.790000,3169.420000,2280547.792340,1929476.264030,349934.004746,1137.523563,564458,4,0,4,108,1
2025-04-19,2572800.330000,2349674.970000,223125.360000,38107.510000,34302.940000,3804.570000,2283962.635847,1932887.702787,349937.409496,1137.523563,565726,5,1,4,109,1
2025-04-20,2472894.900000,2255663.800000,217231.100000,39486.020000,35684.280000,3801.740000,2322406.880455,1971682.364096,349586.992796,1137.523563,569145,6,1,4,110,1
2025-04-21,2702053.900000,2475475.780000,226578.120000,39997.410000,36568.440000,3428.970000,2272999.994843,1922451.391674,349411.079605,1137.523563,567088,0,0,4,111,1
2025-04-22,2708759.550000,2458506.670000,250252.880000,41911.090000,37951.970000,3959.120000,2279370.984909,1928022.509057,350210.952289,1137.523563,569399,1,0,4,112,1
2025-04-23,2718319.290000,2453796.960000,264522.330000,40473.890000,36232.790000,4241.100000,2286345.225143,1933380.153654,351824.314593,1140.756897,572496,2,0,4,113,1
